public
 田科武 
" 华艺出版社,电子工业出版社 "
 苏静 
 机工 
陈浩 
 吉莉 
 广州 广东教育出版社 
 林起永 
 上海社会科学院 
 牛振华 
 江苏凤凰文艺出版社 
 中国华侨出版公司 
 石油工业出版社 
 浙江人民美术 
辽宁广播电视音像出版社 
杨林 
"Klagge, James C. "
 James L. W. III 
福澤諭吉 
李源快 
孙平 
 欧莱礼出版社 
Anne Lamott 
 吴霜 
 Blue Sky Press (AZ) 
外语教学与研究出版社 
 IT Revolution Press 
 孙菊霞 
 浙江文艺 
包萧红 
 秦程程 
 布克文化出版事業部 
 Abrams Image 
 CreateSpace 
" IDG Books Worldwide, Inc. "
 云南科学技术 
 BOOK ON DEMAND POD 
安徽文艺出版社 
姜洪军 
"Sacks, Matthew; Rabinovitch, Ilan; Padilla, Armando "
Martin Krafft 
威廉斯 
 Michael O'Mara 
 西藏自治区文艺出版社 
徐沐子 
 張伯懷 
 世纪文景 上海人民出版社 
 中国发展 
 华中师大出版社 
章念驰编 
 陕西人民出版社出版 
2001-7 
萧三 
 中国时代经济出版社 
 机械工业 
宋华 
"McGonigal, Jane "
于天命 
吴亚峰 
央北 
 北京联合出版公司 
 青海人民 
 南京大学出版社 
 无人民邮电出版社 
 新蕾出版社 
沃肯贝奇 
 北京大方弘文图书发行有限公司（中国藏学出版社） 
 咖啡田 
 江西美术 
 Oxford University Press Inc 
杨东昱 编 
 Wiley Press 
 角川書店 
 Hill and Wang 
 单中惠 
Richard Hammond 
 Beck 
刘元举 
 台湾跃升文化 
1998-6 
 闾佳 
" Wordware Publishing, Inc. "
 第1版 (2003年9月1日) 
 浙江出版社 
李建军 
 北京工业大学 
 水利水电 
Fondazione Pitti Immagine Discovery 
 Arrow Books Ltd 
 李甦 
 第1版 (2009年9月1日) 
臧知非 
 凤凰出版传媒集团 江苏人民出版社 
熊伟 
 企业管理出版社 
曾献 
中国民族摄影艺术出版社 
 北京-中国广播电视出版社 
 Stanford University Press 
龙柒 
 张炜明 
2000-9 
 北京大学版社 
计算机(微机)维修工国家职业资格考试培训教程编委会 编 
杨天舒 
 中国工商联合出版社 
 Nan A. Talese 
Affiliated East-West Press (Pvt.) Ltd. 
 英屬維京群島商高寶國際有限公司台灣分公司 
 宇航出版社 
 Presidio Press 
 祁阿红、穆建英等译 
 上海科技教育出版社 
 东北师大 
 2005
 Citic 
1993-10 
 老古文化 
 愛米粒 
 第1版 (1999年1月1日) 
内蒙古人民出版社 
 OUP Oxford 
 商周 
 谢华均 
 Johns Hopkins Univ Pr 
 A.R.E. Press (Association of Research & Enlig 
华博 
 大樹林 
 海燕 
 Parallax Press 
 Main Street Books 
 New Riders Games 
罗夫曼 
曾莉 
 林群华 
 海洋出版社 
 IPS（日販） 
 农村读物出版社 
 郑州大学出版社 
王思渔 
 香港天地图书有限公司 
"Holroyd, Michael"
 马海涛 
钱能 
 浙江古籍 
胡杨 
 广梅芳 
 非安全手册 
 Harry N Abrams 
 中国文史 
 严建援 
 天地图书有限公司 
 北京科学技术出版社 
 上海：上海文化出版社 
 陈一鸣 
 中国社会出版社 
 台北远流出版公司授权中国长安出版社出版 
袁咏红 
 方智 
李宗仁 
 李凌 
 江苏美术 
 Shandong hua bao chu ban she 
 北京语言文化大学出版社 
HUN 
 Morgan and Claypool Publishers 
 华中理工大学出版社（现） 
 梁锡江 
 明鏡出版社有限公司 
 中山大学 
 西苑出版社 
Michael Ballack 
 中华工商联 
 天津社科院 
Shriram Krishnamurthi 
 求兰英 
张绍民 
 Hazelden 
陈春锋 
 学苑 
 徐雅婧 
 Wellesley-Cambridge Press 
 宁夏人民出版社 
 戚先治 
 中華書局 
 Penguin Books 
 ソニー・マガジンズ 
Anjoy编著 
 军事译文出版社 
 2002-4 
 智慧事業體有限公司 
 Verso Books 
 郑州：河南教育出版社 
程舒伟 
 Timothy Crack 
逍遥 
谭志远 
 飛寶文化 
橡樹林 
2008-11 
Maynard Solomon 
 赵婷 
王锐 
Philip Jia Guo 
 湖北辞书 
张锐强 
 Compass Point Books 
"刘长春,赵杰 "
 産業編集センター出版部 
曾江江 
房龙 
 宇宙光 
(美)沃尔特·艾萨克森 
 Thorndike Press 
 電影資料館 
 商周文化事業股份有限公司 
許倬雲 
 Kluwer Academic Publishers 
 北京广播学院 
 曹莹 
 山东教育出版社 
 百花文艺 
 Prentice Hall College Div 
 頂淵出版社 
 ZerOne无线安全团队 
 辽宁辽海 
光明日报出版社 
 浙江出版联合集团，浙江人民出版社 
 中国轻工业出版社 
 Harvard Univ Pr 
 王瑾 
"Pialorsi, Paolo; Russo, Marco; "
Intel 
 Celestial Arts 
 湖南美术 
航空工业出版社 
 岳麓 
 大辣出版 
 1997 
 上海交大 
" W. W. NORTON & COMPANY, INC. "
司汤达 
林玥 
魏永明 
 上海画报 
 crowncheng 
 台灣角川書店 
冯玉祥 
 Alma Books 
 吉林出版集团有限责任 
 时周 
 现代 
 华中师范大学出版社 
 天地圖書有限公司 
田村裕 
喜羊羊 
Leonard Bernstein 
 先覺出版社股份有限公司 
贾中恒 
 Foreign Languages Press 
 Farrar Straus Giroux 
劉遠章 
 J. Mama 
 大连理工大学出版社 
 香港 : 一学堂 
Roy Richard Grinker
 Phoenix Literary Productions 
徐镇河 
 Times Books 
 天津古籍 
阳飞扬 
 The Talent Shed Ltd 
 中国国际广播出版社 
 湖南师大 
RMIUC艾迪生 
 HarperEntertainment 
 商务出版社 
 天地图书 
晨曦 
李忠 王晓波 余洁 
"Blair, Tony "
 上海财经 
 黑龙江教育出版社 
王国荣 
高等教育出版社 
 台湾东贩 
 Dsch 
一行禪師 
"Mandela, Nelson; van Wyk, Chris "
 Chrome Dreams 
 暨南大学出版社 
 Scholastic Press 
岳晓东 
 黃璧惠、魏宏晉等合譯 
 程艳琴 
 1985.8 
荣孟源 
Jennifer Beals 
 Counterpoint 
徐子珊 
 伍微 
 席玉苹 
2009-1 
雷振 
 台湾学生书局 
"Grimm, Christoph; Mahlknecht, Stefan; Neumann, Peter "
"Parrott, W. Gerrod "
赵永久 
让-克里斯多夫·阿基雷 
 賽斯文化 
 南望山文化艺术出版社 
余音 
刘晓勇 编 
 南开大学出版社 
齐小侠 
戢友 
 Artima 
 上海交通大学 
" 云南出版集团公司,云南人民出版社 "
 中华工商联合出版社有限责任公司 
 American Media International 
 语文 
王云高 
 吉林出版社 
 譚愛梅 
陶畅 
埃尔温 
龙门书局 
 张杰良 
 中国人民文学出版社 
 Univ Of Minnesota Press 
"Chernow, Ron "
 人本自然 
 中國大百科全書出版社 
 广东旅游 
 祝卓宏 
 北京少年儿童出版社 
斯蒂芬·阿里斯 
 鹭江出版社 
 林少忠 
 風雲時代 
 Three Rivers Press 
 时报文化出版社 
2010-5 
 Music Sales 
余徐刚 
陳雲 
06
 突破出版社 
边东子 
 Pinter & Martin Ltd 
 太白文艺出版社 
 NYRB Classics 
2012-3
 Ecco 
 福建教育出版社（原） 
Sam Gosling 
董佩琪 
 科学技术文献出版社 
 经济管理 
 Your Coach Digital 
 吴妍仪 
清华大学 
李广军 
 Penguin Classics 
林崇德 
欧文斯通 
2009-3 
乔易 
Brian Suda 
[日] 高林哲 等 
 Dickimaw Books 
 Harpercollins Childrens Books 
 陆汉臻 
 辽宁少年儿童出版社 
 Atria 
黄石公 
史蒂夫·乔布斯 
百花洲文艺出版社 
 知识产权 
" NuVision Publications, LLC "
严春 
 吳至青博士 
 上海三联文化传播有限公司 
 时事 
Michael Hall 
 Counterpoint Press 
 西泠印社 
 上海科教出版社 
2004-1 
 滕守尧 
 啟示出版 
 上海-上海科学技术出版社 
 Jimmy Clidaras 
 Faber and Faber 
 中国画报 
2008-3 
"Hertz, Matthew "
 Liveright 
刘德环 
陈铮 
 聯經出版社 
 Pendragon Pr 
 Wiley-IEEE Computer Society Pr 
 北方联合出版传媒（集团）股份有限公司 春风文艺出版社 
 江西科学技术出版社 
 刘旭东 
 西泠印社出版社 
 吴申 
 宁夏人民 
范文澜 
程显毅 
 lulu.com 
 正中書局 
黄晞耘 
王国章 
 时代华文书局 
 南京师范大学出版社 
路都行 
哈尔滨出版社 
 陈鑫 
 刘双 
 生活.读书.新知三联书店 
 Peachpit Press 
孟刚 
 中国海洋大学出版社 
 科学普及 
2012-1 
 Doubleday 
闫艺坤 
香港中和出版有限公司 
上海译文出版社 
 王运成 
 中国传媒 
 贵州大学出版社 
王玉成
 唐蓓 
 浙江大学出版社 
 Integral Books 
 蓋亞 
Jeffrey Winesett 
 臺灣商務 
张彦林 
 华夏出版 
周淑舫 
 世纪文景   上海书店出版社 
李荣胜 
周光凡 
李伶伶 
 Thunder Bay Press (CA) 
赵鑫珊 
 Hachette Audio 
 Thorndike Pr 
遠流 
 马昕 
朱正 
 Bloomsbury Press 
 蓝天 
文静 
13.50
 Neuri Limited 
 游琬娟 
 中国电力出版社 
 W&N 
 田平 
 四川科技 
 叶青 
早安財經 
 广州文化出版社 
 三晋出版社 
[法]古斯塔夫·勒庞 
张利华 
 陈恩明 
"Oxford University Press, USA "
Robert K. Massie 
 安徽美术出版社 
罗杰 B.迈尔森 
 Big Nerd Ranch 
 哈尔滨 
狸雅人 
2008-1 
王增如 
尚明轩 
冯雪 
 7-80231 
 Gardners Books 
2011-2 
 斐华出版社 
 西北工业大学出版社 
Robert Graves 
 轻工业出版社 
 机械工业出版社 
 中国计划出版社 
 Touchstone Books 
2001-9 
 Sentinel HC 
王鹤滨 
 早安財經 
 中信出版社 
 于娟娟 
张兵 
 凤凰(原江苏古籍) 
児島 襄 
 京华 
 人民（东方） 
中国社会出版社 
"Kamara, Mariatu; Almasy, Jessica; McClelland, Susan"
 吴英 
 天下文化 
 山西出版集团，山西人民出版社 
 李茲文化有限公司 
 湖南大学出版社 
 心靈工坊文化 
 ESRI Press 
周华 
 Phoenix (an Imprint of The Orion Publishing Group Ltd ) 
卡尔·古斯塔夫·荣格 
"Kosinska, Elena; Leeds, Chris; "
 ロッキング·オン 
 呂清夫 
 爾雅出版社有限公司 
曹保明著 
Sean Hepburn Ferrer 
 云南科技出版社 
胡適 
 凤凰出版传媒集团，译林出版社 
 Rowman & Littlefield Pub Inc 
 1-85326 
李澍晔 
"Stach, Reiner "
 李茲文化 
 李文婕 
 五洲传播出版社 
 Playaway 
王道论坛 编 
 时报文化出版企业有限公司 
 Pearson Prentice Hall 
 九洲 
王禹澎 
 吴崇 
 Course Technology 
 Chang-Hwan Lee 
 花城 
林庚凡 
中共中央党校出版社 
贾鸿彬 
 原子能出版社 
 Princeton UP 
 陈钰鹏 
 深圳报业 
 中国国际电视 
 中国时代经济 
请买家自查 
武光 
 中国盲文 
 Pan Publishing 
Gary Nutt 
 Gotham 
铁葫芦图书 
吴宗宪 
 世纪出版集团 格致出版社 
"Fried, Jason "
 清华大学出版社发行部 
李可讲 
 安徽科技 
 昆仑 
 蔡佩君 
 遠景 
 Atlas 
 Overlook TP 
Joan Fisher Box 
 李偉才 
 中華書局(香港) 
Ritchie Kernighan 
赛格 
 Roberto Ierusalimschy 
王一心 
学苑出版社 
2006-12 
"Wall, Mick "
白先勇 
 生活-读书-新知三联书店 
"Tan; Tan, Desney S.; Nijholt, Anton "
 University Of Chicago Press 
净因 
 上海外语教育出版社 
 Edition Reuss 
 同济大学 
 西藏人民出版社 
 CityFiles Press 
 高寳 
 晨星出版有限公司 
 北京电子工业出版社 
郭扬 
Roger Young (Author) 
张晓林 
2010-9 
 左岸文化 
徐志摩 
 河南人民 
Malcolm Gladwell 
 中信出版股份有限公司 
 秀威 
 指文图书，汕头大学出版社 
 黎明书局 
邢涛 编 
 第2版 (1995年11月1日) 
 汕头大学出版社 
陈志 
 宋嘉宁 
 Penguin Putnam~trade 
 獨步文化 
 Water Brook Press 
中国人民大学出版社 
 第1版 (2007年1月1日) 
 白橡文化 
Niall Ferguson 
 大地 
 唐小娟 
 Genever Benning 
阎蕾 
宁泊 
2010-2 
当代世界出版社 
 现代教育出版社 
 康绿岛 
 Big Nerd Ranch Guides 
 Macmillan 
 （台湾）人间出版社 
张倩 
 PENGUIN 
 Kodansha International 
[印]拉吉莫汉·甘地 
 曹真诤 
 Warner Business Books 
李智 
徐瑞 
 HarperPerennial 
Diego Forlan 
"Markman, Art "
 立绪文化事业公司 
 新銳文創 
 林语堂 
 经济管理出版社 
"Aggarwal, Charu C. 编 "
 时代文艺 
蘇珊娜．凱森 Susanna Kaysen 
 北京科学普及出版社 
 Basic 
赵黎 
 Westview Press 
 Steven L. Eddins 
 漓江出版 
 Bulfinch 
汪新亮 
 王德玲 
 上海科技文献 
 Putnam Juvenile 
科比之家 
 喜讀文化 
 角川グループパブリッシング 
刘伟 
政协青岛市委员会文史资料委员会 编 
 Jonathan Coleman 
 CRC Press 
 WARNER BOOKS 
 上海社 
杨玉章 
哈維爾（Vaclav Havel） 
"Amodeo, John "
 广东音像 
 中国广电 
胡雍丰 
 黑龙江科学技术 
Jonathan Bate 
" Cold Spring Harbor Laboratory Press,U.S. "
 雲南人民出版社 
"Wilson, A.N. "
王晓梅 
 遠流出版事業股份有限公司 
 中国人民大学 
 南京大学 
Gary A. Donahue 
 廣場 
 冉超智 
江苏文艺出版社 
 海天出版社，深圳出版发行集团 
 辛伟迪 
 中国和平出版社 
霍亚飞 
 Oreilly & Associates Inc 
 广东经济 
安德鲁 
 台灣商務印書館股份有限公司 
 南玉祥 
 江西人民出版社 
 香港电影双周刊出版社 
1999-9 
"Copeland, B. Jack "
 Rizzoli 
 求实出版社 
 江苏科技出版社 
派屈克‧偉柏Patrick Weber 
 支雅琼 
张超 
2011-8 
 刁琳琳 
 陶国臣 
胡洁萍 
" Frisch, Shelley Laura "
 贵州东方音像出版社 
 韓良憶 
張戎 
加翰·贝曼 
 A K Peters 
 Houghton Mifflin 
柴草 
 法律 
2008-6 
 Laurel Leaf 
 屈家信 
解放军出版社 
沈阳格微翻译服务中心 
"Bayley, John "
Beyond Words 
中央文献出版社 
 古吴轩出版社 
 Lean Enterprise Institute 
 人間 
 Newmarket for It Books 
舒乙 
 中信出版社 浙江人民出版社 
 时报文化出版企业股份有限公司(台湾) (2003年5月26日) 
 大塊文化出版股份有限公司 
 辽宁古籍出版社 
邓德隆 
高原 
黄志刚 
诸葛先生 
肖舸 
 新自然主义 
肖宾 
Christian JACQ 
 福建鹭江 
 化学工业 
文史资料出版社 
 冀洲 
 Putnam Pub Group 
 Make 
李斌 
 中央文献出版社 
 格致出版社；上海人民出版社 
2009.6.29
刘保昌 
 Independent Institute 
 汤舒俊 
陈蒲清 
 九洲出版社 
Noah Suojanen and Eric Giguere John Mongan 
方可 
 林幻奇 
杨柳纯 
 同济大学出版社 
 中国商业出版社 
 Virago UK 
崔正山 编 
 第1版 (2005年1月1日) 
 滾石文化股份有限公司 
 水雲齋 
 Harper Voyager 
 Blake 
 重庆出版集团重庆出版社 
 Distributed Art Pub Inc 
拿破仑·希尔 
格拉瑟曼 
 Harmony 
 吴裕康 
 The Criterion Collection 
 王岑卉 
 Popular Press 1 
 欧亚戈 
 外研社 
 中国言实 
 Birkhäuser 
 姜珊 
 傾向出版社 
 江苏凤凰科学技术出版社 
李龙云 
 成都出版社 
 台湾东立 
 北方妇儿 
 北京大學出版社 
邹丽炎 
 中国新闻出版社 
 中国劳动社会保障出版社 
 李繼宏 
Christine Webber 
 Taschen Verlag 
 Microsoft Pr 
夏德忠
 Signet 
岳麓书社 
Sylvie Simmons 
 第1版 (2004年4月1日) 
徐宪江 
刘轩 
 Gallery Books 
Tsai Fong Books 
陈思群 
" 中信出版社,辽宁教育出版社 "
南絲．格爾馬丁 
清华大学出版社 
 心灵工坊 
中国文史出版社 
 首都经济贸易大学出版社 
宁向东 
 广播电视 
 辽海 
 陈锋 
 上海文艺出版总社，上海锦绣文章出版社 
张俊纶 
2012-6 
 大田出版有限公司 
 Hatje Cantz 
 張老師文化事業股份有限公司 
 Viking Australia 
 凤凰传媒集团 江苏美术出版社 
 People Post Press Pub. Date :2009-4-1 
 董凌锋 
沈美娟 
 一迅社 
 O'REILLY 
 Spiegel & Grau 
雷明 
张永生 
徐光兴 编 
 ItBooks 
 兵器工业出版社 
 SaltRiver 
陈镜宇 
 周晓晗 
苏步青 
 华龄 
 长安 
 刘如菁 
陈乾文 
" Sanctuary Publishing, Ltd. "
 外语教学与研究出版社 人民出版社 
 张德芬 
 策劃：香港國際電影節協會 
 LANE ALLEN 
梁漱溟 
 周景刚 
 Celebra Hardcover 
 W. W. Norton 
 辽宁科学技术出版社 
 陕西人民出版社 
 赵全龙 
 O'Reilly & Associates Inc. 
 Adobe Press 
 河北美术出版社 
 Worth Publishers 
 釀出版 
 生活 读书 新知 三联书店 
 Ballantine Books 
張德芬 
 社科 
 美國中信．海外基督使團 
18.00
 中国文化艺术出版社 
 罗密 
谢婷 
 明窗出版社有限公司 
Alex Ferguson 
赵中男 
Albert Kesselring 
 凰出版社 
"Davis, Stephen "
 2006
 尖端 
 Prometheus Books 
 昆仑出版社 
 Welcome Books 
孙洛丹 
 王冬妮 
 凤凰 
 ロッキング・オン 
"Maraniss, David; Maraniss, David;"
" 湖北长江出版集团,长江文艺出版社 "
彼得·格罗尼维根 
2012-9 
肖亦艾 译 
 光明日报 
查尔斯·哈奈尔 
 吉林出版集团 北方妇女儿童出版社 
"Ketcham, Henry"
 邓若虚 
 YueLu Publishing House 
 董秋斯 
 中国大百科 
李博实 
史蒂夫·哈姆 
"Boyles, Brian; Carrara, Melissa; McFarland, Alex"
 少年儿童出版社 
Mark Beaumont 
傑洛.柯雷斯曼 
 广东省出版集团广东经济出版社 
 Sphere 
 上海锦绣文艺出版社 
 老战友工作室 
丛琳 
 第1版 (2003年5月1日) 
鲍立铣 
 韩宇 
舒尔茨 
 中国地图出版社 
 Yuan Liu 
 平凡企业顾问有限公司 
 Simon & Schuster UK (2008年4月28日) 
 毕崇毅 
148.0
 陈小平 
 广东南方日报 
 蔣秋華 
斯金纳 
徐红军 
吴同海 
南懷瑾 
楚尘文化 
 陈刚 
张馨月 
付娜 
 周宇 
" 广东省出版集团,新世纪出版社 "
王健 
腾讯网燕山大讲堂 编 
冯明之著 
于力工 
 Greenwood Pub Group 
 David Ritz 
"Khoo Thwe, Pascal "
孔菁慧 
刘艳静 
 Shoot Hip Press 
 淅江文艺出版社 
[美]迈克尔·波特    乔斯琳·华莱士 
 Radiance House 
 Addison Wesley 
 University of Pittsburgh Press 
(美) Steven Holzner著; 
梁勇 
2000-5 
 徐志伟 
 Kunstmann 
豊田穣 
王小波 
安娜·鲁比诺 
 中华书局香港分局 
"Zakaria, Fareed "
 第1版 (2002年1月1日) 
"Franklin, Tom "
浦睿文化 
中原 
 解放军（原长虹） 
 ExcellentLeader 
" Franklin, Beedle & Associates "
史钧 
 湯瑪斯.佩索(Thomas Peisel) 
 殷海光 
20.00
张成良 
 吉林美术出版社 
国防工业 
 HJ Kramer 
熊万龙 
全国计算机专业技术资格考试办公室 编 
 李月敏 
 人民 
 北京航大 
2008-12 
湖南人民出版社 
 北京琼版图书经销部(海南出版社) 
 黃燦然 
 西风 
 李林 
潘立勇 
 Ingrandimenti 
 安徽教育出版社 
"徐德,谭民,李原 "
王鹏 
 当代中国出版社 
 潘爱民 
 Nanjing da xue chu ban she 
 涂丁 
 中国文化出版社 
Alexander Werner 
俞宙明 
 Morgan Kaufmann Publishers In 
 2005-11 
 小知堂文化 
 合肥-安徽文艺出版社 
涂绍钧 
刘云生 
 辽宁画报 
叶対 
 Blackwell Publishing 
 四川科学技术出版社 
 Phoenix Audio 
 同心 
姜得祺 
 东方出版社 
 上海财大 
王振华 
马修.李卡德 
 講談社 
 第1版 (1998年4月1日) 
 Oxford Univ Pr 
王翔 
 电子科技 
 中国民间文艺出版社 
"Marr, Andrew"
 文学 
张荣华 
 天津科技 
 朱海燕 
蕭曼青 
世界图书出版公司 
 湖北少年儿童出版社 
 Universe 
财智 
阿马蒂亚·森 
 宗教文化 
天津科学技术出版社 
 化学工业出版社 
 湖南科学技术 
 四川少年儿童出版社 
汪锋 
"Dennis, Felix "
 广东人民出版社 
（唐）释道宣 
 三联出版社 
 Foreign Language Teaching and Research Press 
 風信子文化 
2012-4
"Heydon, Robin "
 江苏文化出版社 
 湖北长江文艺 
 希望出版社 
 心靈平安 
张家辉主编 
 沈阳 : 辽海出版社 
 中国华侨出版社侨 
 内蒙古大学出版社 
 海鴿文化 
 山东画报出版社 同济大学出版社 
 陈宗斌 
程远 
 东方出版中心 
蒋经国 
任伟 
小田全宏 
 HarperCollins Audio 
 中国轻工业 
 花花洲文艺出版社 
 瑞昇 
 1998
 徐幸娟 
 周全 
 East Gate Book 
张作记 
 凤凰出版传媒集团 
 平凡企管 
" 世纪出版集团,上海人民出版社 "
 山东大学出版社 
李法玲 
 Robinson Publishing 
 DK ADULT 
 李琦 
 中国医药科技出版社发行部 
 博雅書屋有限公司 
 金城出版社 
HK$83.00
 吉林摄影出版社 
 Hyperion New York 
 丁口 
Zed Shaw 
祝定泽 
李若虹 
2
 Ludion 
 Atria Books 
 O'Reilly 
周爱民 
 宗教文化出版社 
 刘正邦 等 
 Pearson 
 科学文献出版 
 薛舟 徐丽红 
黎小明 
 台声出版社 
 智庫文化 
 Princeton Univ Pr 
 贵州东方音像 
 Citadel 
2008-8 
牛津大学出版社 
 钮先钟 
 浙江人民美术出版社 
 内蒙古-远方出版社 
 胡佩华 
吳相湘 
 明報週刊 
施龙 
*辉 
 卢晓兰 
1996-12 
郑闯琦 
 海峡出版发行集团 ▏海峡书局 
中国基督教协会 
 鄧瑋敦 
邓子恢  编著 
 周明东 
 黄继忠 
 Hachette Books 
 上海世纪出版集团 
7
 外语教学与研究 
 星光出版社 
 西南财经大学出版社 
蘇雪林 
邹志方 
"Horowitz, Alexandra "
左玉河 
 内蒙古科学技术出版社 
王觀泉 
 Master’s 
 朝日出版社 
 左岸 
狄娜
梁小琳 
 東大 
付勇 
 清华大学出版 
2010-12 
 RB Large Print 
" Books on Tape, Inc. "
 山西教育出版社 
 九州出版社· 阳光博客 
 漫遊者文化 
"Bengio, Yoshua "
潘剑冰 
 Frances Lincoln 
 Hay House 
 Vintage International 
 Ardis 
 高等教育出版社；施普林格出版社 
 王观声等 
 外国文学出版社 
 Morgan Kaufmann 
Pieter Hintjens 
詹凱盛 
 广东汕头大学 
"Shapiro, Ehud; Sterling, Leon; "
264.00元
"Wills, David"
 昆仑出版 
 Lawrence Erlbaum 
 張樸 
第一世敦珠仁波切 
 ナナロク社 
桑逢康 
 上海翻译公司 
"Mantle, Mickey W.; Lichty, Ron; "
 武汉-长江文艺出版社 
 三聯書店香港分店 
范祥涛 
 Springer 
 自轉星球 
 Edition 7L 
吴翰清 
 Pearson Education 
 Regan Books 
 人民大学出版社 
冯仑
Josef Koudelka 
阿纳托尔·盖斯丹 
 長鴻 
龙子民 
 Plexus Publishing (UK) 
熊哲宏 编 
 上海人民出版社世纪文学出品 
 McGraw-Hill College 
 书目文献出版社 
 Birkhauser 
"Josselson, Ruthellen "
 外交出版社 
 四川电子音像出版社 
 Springer; 2nd edition 
闫蕾 
丁西坡 
 上海世纪出版集团（上海译文出版社） 
张续杰 
 解放军出版社 
Mark G.Sobell 
 湖北长江出版集团，长江文艺出版社 
 紫禁城出版社 
 明田 
 温谦 
托马斯·M·德弗兰克 
Axel-Tobias Schreiner 
 中国人事出版社 
 生活·读书·新知三联书店 生活书店出版有限公司 
教育部考试中心 
 Berkley Trade 
 人民出电出版社 
"Pavlina, Steve "
 天华出版事业股份有限公司 
郑光辉 
杨莹 
 天下文化出版股份有限公司 
 Hyperion 
 姚远 
沈烈敏 
 葛春生 
 人民美术 
 王泳生 
 第1版 (2002年6月1日) 
莉·汤普森 
 遠景出版事業有限公司 
 辽宁画报出版社 
"Sebba, Anne "
戈登·弗莱彻 
 中国民间文艺出版社影印台湾志文出版社（内部发行） 
芴香初 
 Hachette Book Group USA 
20.00元
 夏日出版社 
秦燕春 
 中国摄影出版社 
 Wyden Books 
崔久成 
曾禹 
 上海社会科学出版社 
葛甲 
 網路與書 
 机械工业出版社·华章经管 
罗建幸 
Wayne Rooney 
"Williams, Richard "
尹黎云 
 谈鹤鸣 
 中青 
 臉譜出版 
 上海世纪（上海人民） 
 河北教育 
 中信 
Matt Neuburg 
 中国人民大学出版社 
 人民邮电 
"Jones, R. V. "
 新纪元国际出版社 
 钱峰 
韩佳冰 
"Meyers, Jeffrey "
 Simon & Schuster (New York) 
北京依尼诺展览展示有限公司 
 第1版 (2006年9月1日) 
 Henry Holt & Co 
Douglas R. Hofstadter 
Karen Horney 
"Reagan, Ronald "
 甘肃科学技术出版社 
 Assouline 
 Lua.org 
 衛城 
 Tokyopop 
"Dixon, R. M. W. "
 貓頭鷹 
 天津百花文艺 
 重庆出版 
李心灿 编 
黄彬华 
 新星出版 
 VUIBERT 
" Robson Books, Limited "
文杰书院 
 中国水利水电 
 花城出版 
 吴晓明等 
喻璐 
张帆 
 晨钟书屋 
郭启宏 
 財信出版有限公司 
Edward Angel 
兰涛 
 方祖芳 
08
 陈玲玲 
 广西人民 
 Wolke Verlagsges. Mbh 
 刘象愚 
黎鸣 
 上海锦绣文章出版社 
Francesco Totti 
" 凤凰出版传媒集团,译林出版社 "
博瀚 编 
 Ayer Co Pub 
冯茜 
赵增敏 
 Ritchie 
 1990
 冷杉，王惠 
 四川大学 
出版社：秀威資訊 
团结出版社 
本社 
弗蘭克，譯／趙可式 
 董晨耕 
